KeV,Counts
3378,5
3380,4
3382,4
3384,8
3386,5
3388,7
3390,5
3392,3
3394,9
3396,4
3398,10
3400,10
3402,8
3404,5
3406,4
3408,4
3410,6
3412,10
3414,12
3416,6
3418,5
3420,6
3422,5
3424,5
3426,5
3428,2
3430,8
3432,2
3434,7
3436,6
3438,7
3440,5
3442,9
3444,4
3446,6
3448,5
3450,4
3452,1
3454,4
3456,8
3458,6
3460,2
3462,10
3464,11
3466,11
3468,7
3470,12
3472,3
3474,7
3476,3
3478,3
3480,4
3482,10
3484,4
3486,17
3488,8
3490,7
3492,8
3494,5
3496,3
3498,8
3500,9
3502,7
3504,11
3506,7
3508,10
3510,8
3512,12
3514,9
3516,9
3518,10
3520,12
3522,6
3524,10
3526,9
3528,13
3530,9
3532,10
3534,15
3536,6
3538,14
3540,10
3542,7
3544,11
3546,9
3548,13
3550,10
3552,17
3554,13
3556,14
3558,13
3560,13
3562,9
3564,5
3566,10
3568,11
3570,17
3572,14
3574,10
3576,9
3578,14
3580,16
3582,19
3584,12
3586,10
3588,14
3590,12
3592,11
3594,12
3596,20
3598,12
3600,10
3602,19
3604,6
3606,14
3608,16
3610,11
3612,18
3614,12
3616,18
3618,10
3620,11
3622,14
3624,22
3626,14
3628,17
3630,15
3632,10
3634,15
3636,13
3638,9
3640,12
3642,9
3644,12
3646,15
3648,12
3650,14
3652,11
3654,17
3656,13
3658,13
3660,12
3662,14
3664,12
3666,8
3668,12
3670,12
3672,10
3674,11
3676,11
3678,7
3680,11
3682,10
3684,9
3686,11
3688,6
3690,4
3692,9
3694,6
3696,7
3698,4
3700,6
3702,14
3704,11
3706,12
3708,6
3710,9
3712,8
3714,10
3716,10
3718,5
3720,5
3722,8
3724,1
3726,3
3728,6
3730,5
3732,6
3734,5
3736,8
3738,5
3740,5
3742,5
3744,2
3746,6
3748,8
3750,7
3752,4
3754,3
3756,4
3758,2
3760,7
3762,3
3764,9
3766,4
3768,2
3770,5
3772,6
3774,4
3776,6
3778,6
3780,1
3782,3
3784,7
3786,2
3788,0
3790,4
3792,3
3794,2
3796,2
3798,3
3800,5
3802,4
3804,3
3806,1
3808,2
3810,7
3812,4
3814,1
3816,3
3818,1
3820,3
3822,5
3824,2
3826,2
3828,0
3830,8
3832,3
3834,4
3836,2
3838,5
3840,1
3842,2
3844,2
3846,0
3848,3
3850,6
3852,2
3854,3
3856,0
3858,7
3860,2
3862,6
3864,3
3866,4
3868,4
3870,3
3872,1
3874,5
3876,4
3878,3
3880,2
3882,0
3884,1
3886,9
3888,1
3890,4
3892,2
3894,1
3896,6
3898,3
3900,1
3902,6
3904,3
3906,3
3908,5
3910,0
3912,5
3914,5
3916,0
3918,4
3920,2
3922,2
3924,2
3926,2
3928,3
3930,2
3932,1
3934,2
3936,2
3938,4
3940,2
3942,5
3944,4
3946,5
3948,3
3950,2
3952,0
3954,1
3956,1
3958,1
3960,2
3962,2
3964,3
3966,1
3968,2
3970,1
3972,2
3974,7
3976,5
3978,4
3980,1
3982,6
3984,2
3986,2
3988,4
3990,2
3992,3
3994,6
3996,5
3998,4
4000,3
4002,4
4004,4
4006,3
4008,5
4010,0
4012,2
4014,4
4016,6
4018,8
4020,3
4022,6
4024,1
4026,2
4028,5
4030,1
4032,2
4034,1
4036,2
4038,7
4040,3
4042,4
4044,3
4046,2
4048,4
4050,1
4052,4
4054,3
4056,3
4058,1
4060,5
4062,4
4064,7
4066,5
4068,5
4070,2
4072,6
4074,4
4076,2
4078,2
4080,1
4082,4
4084,1
4086,3
4088,5
4090,2
4092,2
4094,2
4096,1
4098,1
4100,3
4102,2
4104,3
4106,2
4108,1
4110,2
4112,4
4114,5
4116,2
4118,2
4120,4
4122,3
4124,2
4126,5
4128,3
4130,1
4132,1
4134,5
4136,2
4138,0
4140,2
4142,4
4144,5
4146,4
4148,3
4150,4
4152,2
4154,2
4156,2
4158,3
4160,2
4162,4
4164,2
4166,3
4168,2
4170,4
4172,3
4174,3
4176,5
4178,3
4180,2
4182,4
4184,6
4186,4
4188,4
4190,2
4192,3
4194,2
4196,2
4198,3
4200,1
4202,4
4204,2
4206,2
4208,5
4210,2
4212,3
4214,2
4216,1
4218,3
4220,3
4222,1
4224,2
4226,2
4228,3
4230,4
4232,1
4234,1
4236,3
4238,4
4240,5
4242,2
4244,3
4246,2
4248,5
4250,1
4252,4
4254,2
4256,1
4258,3
4260,1
4262,2
4264,1
4266,2
4268,3
4270,3
4272,3
4274,2
4276,3
4278,4
4280,1
4282,3
4284,3
4286,3
4288,1
4290,1
4292,2
4294,3
4296,2
4298,5
4300,3
4302,4
4304,3
4306,0
4308,1
4310,1
4312,2
4314,5
4316,4
4318,1
4320,4
4322,1
4324,1
4326,2
4328,0
4330,0
4332,3
4334,3
4336,2
4338,5
4340,3
4342,4
4344,1
4346,2
4348,4
4350,2
4352,4
4354,5
4356,1
4358,1
4360,1
4362,2
4364,2
4366,2
4368,1
4370,4
4372,0
4374,1
4376,1
4378,0
4380,3
4382,1
4384,2
4386,1
4388,9
4390,0
4392,2
4394,3
4396,4
4398,4
4400,4
4402,2
4404,1
4406,1
4408,0
4410,3
4412,6
4414,4
4416,2
4418,3
4420,4
4422,1
4424,2
4426,2
4428,1
4430,2
4432,3
4434,7
4436,5
4438,3
4440,3
4442,1
4444,3
4446,2
4448,3
4450,1
4452,7
4454,0
4456,0
4458,2
4460,4
